corpus,id,titulo
BOSCO,01,Agnus sei
BOSCO,02,Bala com bala
BOSCO,03,A nível de
BOSCO,04,De frente pro crime
BOSCO,05,Boca de sapo
BOSCO,06,Bijuterias
BOSCO,07,Escadas da Penha
BOSCO,08,Casa de marimbondo
BOSCO,09,Dois pra lá, dois pra cá
BOSCO,10,Falso brilhante
BOSCO,11,Corsário
BOSCO,12,Feminismo no Estácio
BOSCO,13,Gol anulado
BOSCO,14,Desenho de giz
BOSCO,15,Kid cavaquinho
BOSCO,16,Jogador
BOSCO,17,Linha de passe
BOSCO,18,Jade
BOSCO,19,O rancho da goiabada
BOSCO,20,Miss Suéter
BOSCO,21,O mestre-sala dos mares
BOSCO,22,Galos de briga
BOSCO,23,Zona de fronteira
BOSCO,24,Pirata azul
BOSCO,25,Jandira da gandaia
BOSCO,26,Latin lover
BOSCO,27,Beirando a rumba
BOSCO,28,Prêt-à-porter de tafetá
BOSCO,29,Meu caro visconde
BOSCO,30,Nação
BOSCO,31,Quando o amor acontece
BOSCO,32,Nossas últimas viagens
BOSCO,33,Plataforma
BOSCO,34,Querido diário
BOSCO,35,Samba do pouso
BOSCO,36,Nesta data
BOSCO,37,Profissionalismo é isso aí
BOSCO,38,Siameses
BOSCO,39,O bêbado e a equilibrista
BOSCO,40,Tenho dito
BOSCO,41,Trilha sonora
BOSCO,42,Ofício de um puxador
BOSCO,43,Papel machê
BOSCO,44,Violeta de Belford Roxo
BOSCO,45,Siri recheado e o cacete
BOSCO,46,Denúncia vazia
BOSCO,47,Tabelas
BOSCO,48,Terra dourada
BOSCO,49,Tiro de misericórdia
BOSCO,50,Um por todos
CAETANO,01,A filha da Chiquita Bacana
CAETANO,02,A outra banda da terra
CAETANO,03,Atrás do trio elétrico
CAETANO,04,Baby
CAETANO,05,Cajuína
CAETANO,06,Cinema Olímpia
CAETANO,07,Chuva, suor e cerveja
CAETANO,08,Coração vagabundo
CAETANO,09,Alegria, alegria
CAETANO,10,A tua presença morena
CAETANO,11,Avarandado
CAETANO,12,Beleza pura
CAETANO,13,Cavaleiro de Jorge
CAETANO,14,Como dois e dois
CAETANO,15,Drama
CAETANO,16,Luz do sol
CAETANO,17,Dom de iludir
CAETANO,18,Lua, lua, lua, lua
CAETANO,19,Jeito de corpo
CAETANO,20,Eclipse oculto
CAETANO,21,Ele me deu um beijo na boca
CAETANO,22,Esse cara
CAETANO,23,Gema
CAETANO,24,Gente
CAETANO,25,Irene
CAETANO,26,London London
CAETANO,27,Milagres do povo
CAETANO,28,Louco por você
CAETANO,29,Lua de São Jorge
CAETANO,30,Minha voz, minha vida
CAETANO,31,Menino do Rio
CAETANO,32,No dia em que eu vim-me embora
CAETANO,33,Massa real
CAETANO,34,Mel
CAETANO,35,Meu bem, meu mal
