corpus,music,position,r-word
BOSCO,01,1,jjb
BOSCO,01,2,fsb
BOSCO,01,3,jjb
BOSCO,01,4,jjbjeb
BOSCO,01,5,jjj
BOSCO,01,6,ejj
BOSCO,01,7,ejb
BOSCO,01,8,jjj
BOSCO,01,9,ejbjbj
BOSCO,01,10,bjpjlb
BOSCO,01,11,ob
BOSCO,01,12,bjpjlb
BOSCO,01,13,ob
BOSCO,01,14,eee
BOSCO,01,15,eee
BOSCO,01,16,eee
BOSCO,01,17,eee
BOSCO,01,18,ejbb
BOSCO,02,1,uh
BOSCO,02,2,pv
BOSCO,02,3,vh
BOSCO,02,4,pv
BOSCO,02,5,urn
BOSCO,02,6,gac
BOSCO,02,7,rnc
BOSCO,02,8,gnnng
BOSCO,02,9,utc
BOSCO,02,10,gng
BOSCO,03,1,ntm
BOSCO,03,2,nn
BOSCO,03,3,gjrn
BOSCO,03,4,nng
BOSCO,03,5,nnnn
BOSCO,03,6,nnc
BOSCO,03,7,gnrnab
BOSCO,03,8,bg
BOSCO,03,9,urnabb
BOSCO,03,10,urnabb
BOSCO,03,11,urn
BOSCO,03,12,jjn
BOSCO,03,13,nanab
BOSCO,03,14,nn
BOSCO,03,15,jrnnc
BOSCO,03,16,nn
BOSCO,03,17,nr
BOSCO,03,18,uj
BOSCO,04,1,nnmb
BOSCO,04,2,gn
BOSCO,04,3,nnmb
BOSCO,04,4,gn
BOSCO,04,5,nnmb
BOSCO,04,6,gn
BOSCO,04,7,nnmb
BOSCO,04,8,gn
BOSCO,04,9,pvbn
BOSCO,04,10,jprc
BOSCO,04,11,gvbn
BOSCO,04,12,jprc
BOSCO,04,13,vbn
BOSCO,04,14,jurc
BOSCO,04,15,pvbnaj
BOSCO,05,1,u
BOSCO,05,2,grrsb
BOSCO,05,3,grc
BOSCO,05,4,jln
BOSCO,05,5,grc
BOSCO,05,6,jb
BOSCO,05,7,nc
BOSCO,05,8,grc
BOSCO,05,9,nb
BOSCO,05,10,nc
BOSCO,05,11,grcj
BOSCO,05,12,nc
BOSCO,05,13,grc
BOSCO,05,14,jb
